fund_name,fund_website,portfolio_page_url,portfolio_size_disclosed,transaction_sizes_disclosed,country_disclosed,sector_disclosed,product_type_disclosed,investment_criteria_disclosed,last_verified,notes
Acumen Resilient Agriculture Fund (ARAF),https://arafund.com/portfolio/,https://arafund.com/portfolio/,,,Yes,,Yes,,1/17/26,Country embedded in description for companies
AgDevCo,https://www.agdevco.com/,https://www.agdevco.com/our-investments/,,Yes,Yes,,Yes,Yes,1/17/26,
AgriBusiness Capital (ABC),https://agri-business-capital.com/,https://agri-business-capital.com/ourinvestments.html,,Yes,Yes,Yes,Yes,Yes,1/17/26,
Climate Smart Food Systems,,,,,,,,,1/17/26,
eco.business Fund,https://www.ecobusiness.fund/,,,,,,,,1/17/26,
Fairtrade Access Fund (FAF),https://incofinfaf.com/,,,,,,,,1/17/26,
Huruma Fund,https://fondohuruma.com/en/,https://fondohuruma.com/en/category/investments/,,Yes,Yes,,Yes,,1/17/26,
Kampani,https://www.kampani.org/,https://www.kampani.org/portfolio,,Yes,Yes,Yes,Yes,Yes,1/17/26,
MCE Empowering Sustainable Agriculture,https://www.mcesocap.org/,https://www.mcesocap.org/portfolio-list,,,,Yes,Yes,,1/17/26,"Portfolio data as of June 30, 2025."
Nutritious Foods Financing Facility,,,,,,,,,1/17/26,
