fund_name,company_name,country,sector_raw,borrower_type_raw,company_website,source_text,source_url,notes
ARAF,SunCulture,Kenya,,,https://sunculture.com/,"SunCulture is a Kenya-based solar irrigation company that designs, assembles, finances, and services solar powered water pumps. SunCulture’s water pumps allow farmers to grow crops throughout the year, even in periods of droughts, and increase the land under their cultivation. The company’s services, weather forecasts, and agronomy tips help smallholder farmers spend less time fetching water, improve their productivity, and increase their crop and livestock yields, leading to greater incomes and improved resilience to climate change.",https://arafund.com/sunculture-2/',
ARAF,Tomato Jos,Nigeria,,,http://www.tomatojos.net/home,"Tomato Jos (TJ) is a Nigeria-based agricultural production company that integrates stakeholders in the tomato value chain. The team manages a highly productive commercial farm, a comprehensive smallholder farmer out-grower program, and a tomato paste processing operation. To ensure sustainability and profitability for the farmers, TJ provides access to high-quality farm inputs on credit, training on good agricultural practices, and guaranteed off-take of their produce. The increase in smallholder farmers’ productivity translates into higher and more diversified incomes, which in turn improves their livelihood and increases the resilience to climate change.",https://arafund.com/tomato-jos/',
ARAF,Uzima Chicken,"Uganda, Rwanda, Democratic Republic of the Congo",,,https://www.uzimachicken.com/,"Uzima Chicken is a poultry business supplying fast-growing, highly productive, and highly resilient day-old chicks (“DOCs”), feed, vaccines, and training to smallholder farmers in Uganda, Rwanda, and Democratic Republic of the Congo. Uzima uniquely serves the needs of rural poultry smallholder farmers by providing a chicken breed that is highly disease resistant, is more productive for eggs and meat as compared to indigenous breeds, and is highly adaptable to humid and dry conditions. Through access to this breed, smallholder farmers can increase and diversify their incomes and improve their resilience to climate change.",https://arafund.com/uzima-chicken/',
ARAF,Farmerline,26 countries,,,,"Marketplace combines digital tools, logistics, field agents, farm resources and agribusiness partnerships to support African farmers with access to high-quality fertilizer and seeds; free education on climate-smart farming practices; and connections to international markets. The company’s in-house technology platform Mergdata is also licensed by global food traders and manufacturers who use its customisable tools to improve the lives of farmers around the world. To date, the company has digitized over 1 million farmers through partnerships across 26 countries.",https://arafund.com/farmerline/',Link redirects to same page
ARAF,Farmworks,Kenya,,,,"Is a horticulture company in Kenya. Its hub and spoke model leverages clusters of mid-sized, leased commercial farms to provide smallholder farmers with access to intensive agronomy training, quality and cost-effective farm inputs, and direct access to markets. The company enhances the resilience of farmers by addressing their key pain points, including lack of sufficient agriculture expertise, a dearth of affordable and quality inputs and machinery, and high post-harvest losses.",https://arafund.com/farmworks/',Link redirects to same page
ARAF,Flow Equity Africa Ventures,Ethiopia,,,,"(“FEAV”) is promoted by the founders of Uzima Chicken and is established to replicate the successful Uzima poultry business model in other countries across Sub-Saharan Africa. FEAV’s mission is to provide smallholder farmers with access to high-quality poultry breeds and training, enabling them to increase their incomes and improve their resilience to climate change. FEAV is currently operating in Ethiopia and is looking to expand into other countries in the region.",https://arafund.com/flow-equity-africa-ventures/',Link redirects to same page
ARAF,Stable Foods,,,,,"Unlocks smallholders’ potential at scale to produce affordable food for their communities. Through its ""Climate-Smart Village"" model, the company provides smallholder farmers with access to irrigation, high-quality inputs, and off-take for their produce. By providing these services, Stable Foods helps farmers increase their productivity and incomes, while also ensuring that their communities have access to affordable, fresh produce, available every day.",https://arafund.com/stable-foods/',Link redirects to same page
ARAF,Beyond Good,"Madagascar, Uganda",,,,"Is a bean-to-bar chocolate company that sources cocoa from farmers in Madagascar and Uganda. The company works directly with farmers to improve their fermentation practices and provides market offtake, ensuring that farmers receive a fair price for their cocoa. By producing chocolate at the source, Beyond Good is able to capture more value for the farmers and their communities, leading to increased incomes and improved livelihoods.",https://arafund.com/beyond-good/',
ARAF,Victory Farms,East Africa,,,,"Is the fastest growing end-to-end aquaculture platform in East Africa. The company operates a fully integrated tilapia farm in Kenya, providing high-quality, affordable protein to the local market. Victory Farms is committed to sustainability and uses data-driven farming practices to ensure that its operations are efficient and environmentally friendly. The company’s goal is to become the most sustainable fish platform on the planet.",https://arafund.com/victory-farms/',
ARAF,East Africa Foods,Tanzania,,,,"(EAF) is a leading data and tech driven aggregator and distributor of fresh produce in Tanzania. The company works with smallholder farmers to provide them with access to markets, while also ensuring that urban consumers have access to high-quality, affordable food. EAF’s tech-enabled supply chain reduces waste and improves efficiency, creating value for all stakeholders that work with the company.",https://arafund.com/east-africa-foods/',Link redirects to Tomato Jos
ARAF,Complete Farmer,,,,,"Is an end-to-end digital platform with a marketplace that connects African farmers with global buyers. The company provides farmers with access to high-quality inputs, agronomy support, and a guaranteed market for their produce. By using data and technology, Complete Farmer is able to improve the efficiency of the agricultural supply chain, ensuring that farmers receive a fair price for their products, while expanding trade internationally.",https://arafund.com/complete-farmer/',Link redirects to Uzima Chicken
ARAF,Winich Farms,Nigeria,,,,"Is a supply chain solution that connects smallholder farmers in Nigeria to large-scale processors. The company’s platform provides farmers with access to market information, logistics support, and digital payments, ensuring that they can sell their produce quickly and efficiently. By streamlining the supply chain, Winich Farms helps farmers increase their incomes and reduce post-harvest losses.",https://arafund.com/winich-farms/',Link redirects to SunCulture
ARAF,Ibisa,"Kenya, Ghana, India, the Philippines",,,,"Is a parametric insurance company that facilitates access to weather-related insurance for smallholder farmers across Kenya, Ghana, India and the Philippines. IBISA works with insurance and re-insurance firms, as well as various distribution partners to facilitate the creation of cost-efficient parametric insurance products. IBISA supports smallholder farmers’ recovery from weather-related losses, ensuring that they are able to continue investing in their productive capacity.",https://arafund.com/ibisa-2/',Link redirects to SunCulture
AgdevCo,A2P,Côte d'Ivoire,,Inputs,https://www.afriquephytoplus.com/fr/,"In 2022, AgDevCo provided a €5.5 million mezzanine debt investment to Afrique Phyto Plus (A2P), an agro-input trading and manufacturing company operating in Côte d'Ivoire, Mali, Burkina Faso, Cameroon and wider West Africa. In 2025, AgDevCo followed up with an additional €2.0 million debt investment. These investments will support A2P’s continued growth and impact, including the construction of a new warehouse, expansion into new countries, and increased working capital requirements.",https://www.agdevco.com/our-investments/a2p/,
AgdevCo,Cashew Coast,Côte d'Ivoire,,Processing,https://www.cashewcoast.com/,"Founded in 2019 in Côte d'Ivoire, the group owns and operates two cashew factories with a combined processing capacity of 19,000 MT/year of raw cashew nuts. It is fully traceable, organic, employs 750 people, and sources cashew nuts from over 7,000 smallholder farmers. AgDevCo’s investment will finance the expansion and upgrade of the company’s processing capacity, as well as farmer productivity enhancements, and warehousing across producing regions.",https://www.agdevco.com/our-investments/cashew-coast/,
AgdevCo,DekelOil,Côte d'Ivoire,,Processing,https://dekelagrivision.com/,"AgDevCo’s investment will be used to to support DekelOIl’s Environmental, Social and Governance activities and to strenghen DekelOIl’s balance sheet through the refinancing of short and medium-term facilities, thereby freeing up cashflow for working capital and growth initiaitives.",https://www.agdevco.com/our-investments/dekeloil/,
AgdevCo,East Africa Magical Farms,Ethiopia,,Primary production,https://www.emf-flowers.com/news/?lang=en,"EMF is a leading premium carnations producer with farms in Ethiopia and Kenya. Our $9.0m mezzanine loan will support the expansion into two further farms in Kenya enabling the company to increase its production by 40 hectares. The expansion will provide valuable employment and training opportunities for local communities in the Naivasha region, with employee numbers expected to reach 600 FTEs. The company is actively exploring the future use of sea freight to minimise its carbon footprint.",https://www.agdevco.com/our-investments/emf/,
AgdevCo,Hatch Africa,Ethiopia,,Primary production,https://hatchafrica.co/,"Hatch Africa’s vision is to make farmers healthier and wealthier. AgDevCo invested $6.5m in mezzanine financing alongside IDH Farmfit Fund to scale Hatch’s innovative business model of distributing dual-purpose breeds of day-old-chicks to millions of smallholder farmer households. The investment is into Flow Equity Africa Ventures (FEAV), the holding company for Hatch’s operations in Kenya, Ghana, and Cote d’Ivoire.",https://www.agdevco.com/our-investments/feav/,
AgdevCo,Babator Irrigated Farming Hub (BIFH),Ghana,,Primary production with added-value activity,,"AgDevCo's committed investment of over $4 million has secured a 10,369-hectare 50-year land lease with the relevant authorities in a traditional land tenure environment. In order to show the yield potential of crops not yet grown commercially in the area, detailed technical studies (including soil, topography and irrigation engineering) and six seasons of crop trials have been carried out. With over seven years of project development experience, we have completed all feasibility and technical studies, developed a good relationship with the community and developed a 356-ha irrigated 'proof of concept' at the Babator Farming Company.",https://www.agdevco.com/our-investments/babator-irrigated-farming-hub-bifh/,
AgdevCo,Tropo Farms,Ghana,,Primary production with added-value activity,https://www.voltacatch.com/,"Tropo Farms is the biggest tilapia fish producer in West Africa and among the largest in Sub-Saharan Africa. Established in 1997, Tropo has developed sophisticated aquaculture practices tailored for local conditions.",https://www.agdevco.com/our-investments/tropo/,
AgdevCo,Agris,Kenya,,Primary production with added-value activity,https://www.agris.group/,"An East African agribusiness platform focussing on horticulture production and distribution. AgDevCo’s investment will support the growth of Agris’ production and distribution of high-quality herbs, vegetables, and avocados from its farms in Kenya, serving domestic and international markets.",https://www.agdevco.com/our-investments/agris/,
AgdevCo,Agventure,Kenya,,Processing,http://agvke.com/,A farmer-owned Kenyan business that is leading the way in regenerative agricultural practices for non-irrigated cereal-based systems. AgDevCo’s mezzanine loan of $9.5 million will enable the company to continue to develop its canola oil production capabilities – it sells oil under the Pure Mountain brand in Kenya – allowing the company to increase its volumes purchased from out-grower farmers. It will also help to build Agventure Seed’s platform to supply high quality certified seed to farmers.,https://www.agdevco.com/our-investments/agventure/,
AgdevCo,Evergreen Avocado Limited,Kenya,,Primary production,,"AgDevCo’s $8.0m mezzanine loan will support the development of a 390 hectare avocado research and production hub in Naivasha. As part of the project the company will invest in a 3 Ha R&D plot for irrigation, varieties, genetics and crop protection/IPM trials, and aims to share learnings from these trials with other avocado farmers in order to further develop the sector in Kenya. At its peak, the project will create employment for about 190 people on the farm.",https://www.agdevco.com/our-investments/evergreen-avocado-limited/,
AgdevCo,Sagana Nuts,Kenya,,Processing,,"AgDevCo’s $1.2m loan to Sagana Nuts Limited will fund the construction of a new factory and purchase of equipment that allows the company to increase its processing capacity from 2,000MT to 3,000MT. With the expansion, Sagana will be able to source nut-in-shell macadamia from an additional c. 1,000 smallholder farmers as well as increase volumes from the existing ones. The proposed investment will create about 100 new jobs.",https://www.agdevco.com/our-investments/sagana-nuts/,
AgdevCo,Victory Farms Limited,Kenya,,Primary production with added-value activity,https://www.victoryfarmskenya.com/,"AgDevCo has provided a $4m mezzanine loan to Victory Farms, the fastest-growing fish farm in Sub-Saharan Africa. AgDevCo’s investment supports the company’s continued growth and impact, including the construction of a feed mill and expansion into Rwanda.",https://www.agdevco.com/our-investments/victory-farms-limited/,
AgdevCo,Jacoma,Malawi,,Primary production with added-value activity,https://jacomaestates.com/,"AgDevCo invested $9.6m in long term loans to develop a 1,400 ha irrigated farming hub of three macadamia farms in Northern Malawi. In addition to its farming operations, Jacoma sources chilli and paprika from local smallholder farmers which it exports globally. The funding also provided 100ha of year-round irrigation to the local community to grow chilli and food crops.",https://www.agdevco.com/our-investments/jacoma-tropha/,
AgdevCo,Kasinthula,Malawi,,Primary production,,"Kasinthula is a smallholder cane growing scheme based in the Chikwawa Region in Malawi, comprising of 1,429ha of irrigated sugar cane developed over a 15-year period from 1997-2012. Kasinthula is one of the first fair trade sugar producer in the region. The performance of the company has been deteriorating over the last five years and in early 2019 it ran out of funding and face imminent collapse. The loan provided by AgDevCo, together with the DFID grant and the appointment of a new professional farm management company, have allowed the company to come out of distress and continue to operate. This means that the existing number of employees have been sustained and that, following the turn-around period, dividends will resume to the farmer beneficiaries, with a multiplier effect on the surrounding community.",https://www.agdevco.com/our-investments/kasinthula/,
